asset_id,asset_class,asset_name,provider,lifecycle,status,rag,risk_tier,data_exposure,first_observed,last_changed,instrumentation,control_ref,description,source
CONN-ATLASSIAN-ROVO,Connector,Atlassian Rovo,claude.ai MCP connector,BASELINE,"Installed, authorisation unverified",Amber,1,Jira / Confluence work graph,,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,Atlassian Rovo work graph search and Jira/Confluence access,Claude ListConnectors tool (claude.ai org connector registry)
CONN-BOOKING-COM,Connector,Booking.com,claude.ai MCP connector (authless),BASELINE,"Installed, authorisation unverified",Amber,3,"Travel search, no corporate data",,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,"Find hotels, homes and more",Claude ListConnectors tool (claude.ai org connector registry)
CONN-CANVA,Connector,Canva,claude.ai MCP connector,BASELINE,Active,Green,2,Design assets and brand collateral,,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,"Search, create, autofill, and export Canva designs",Claude ListConnectors tool (claude.ai org connector registry)
CONN-FIGMA,Connector,Figma,claude.ai MCP connector,BASELINE,Active,Green,2,Design files and design-system context,,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,Generate diagrams and better code from Figma context,Claude ListConnectors tool (claude.ai org connector registry)
CONN-GMAIL,Connector,Gmail,claude.ai MCP connector,BASELINE,Active,Green,1,"Mailbox contents, contacts, message bodies",,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,"Draft replies, summarize threads, & search your inbox",Claude ListConnectors tool (claude.ai org connector registry)
CONN-GOOGLE-CALENDAR,Connector,Google Calendar,claude.ai MCP connector,BASELINE,Active,Green,1,"Attendee identities, meeting subjects",,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,Manage your schedule and coordinate meetings effortlessly,Claude ListConnectors tool (claude.ai org connector registry)
CONN-GOOGLE-DRIVE,Connector,Google Drive,claude.ai MCP connector,BASELINE,Active,Green,1,"Document corpus, may contain personal data",,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,"Search, read, and upload files instantly",Claude ListConnectors tool (claude.ai org connector registry)
CONN-INTUIT-MAILCHIMP,Connector,Intuit Mailchimp,claude.ai MCP connector,BASELINE,Active,Green,1,Marketing lists - personal data by definition,,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,Create marketing campaigns,Claude ListConnectors tool (claude.ai org connector registry)
CONN-MICROSOFT-365,Connector,Microsoft 365,claude.ai MCP connector,BASELINE,"Installed, authorisation unverified",Amber,1,SharePoint / OneDrive / Outlook / Teams corpus,,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,"SharePoint, OneDrive, Outlook and Teams access",Claude ListConnectors tool (claude.ai org connector registry)
CONN-NOTION,Connector,Notion,claude.ai MCP connector,BASELINE,Active,Green,1,"Workspace pages, may contain personal data",,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,"Search, update, and power workflows across your Notion workspace",Claude ListConnectors tool (claude.ai org connector registry)
CONN-SLACK,Connector,Slack,claude.ai MCP connector,BASELINE,"Installed, authorisation unverified",Amber,1,Workspace messages and member identities,,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,"Send messages, create canvases, and fetch Slack data",Claude ListConnectors tool (claude.ai org connector registry)
CONN-SPOTIFY,Connector,Spotify,claude.ai MCP connector (authless),BASELINE,Active,Green,3,"Personal media, no corporate data",,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,Music and podcast recommendations,Claude ListConnectors tool (claude.ai org connector registry)
